Dataset,MLP_PyTorch_Reg
ABALONE,2.11786
AIR QUALITY,0.1256
APPLIANCES ENERGY PREDICTION,0.35241
AUTOMOBILE,2180.31464
BIKE SHARING HOURLY,48.78711
COMMUNITIES AND CRIME,0.15779
OBESITY LEVELS,0.28489
REAL ESTATE VALUATION,8.03742
STUDENT PERFORMANCE,2.39335
WINE QUALITY,0.71851
