Dataset,MLP_TFLite_Clas
CAR,7e-05
DIABETES,7e-05
GAMMA,7e-05
HAR,7e-05
IRIS,7e-05
LETTER RECOGNITION,7e-05
MNIST,8e-05
SOYBEAN,7e-05
STUDENT DROPOUT,7e-05
WINE,7e-05
