Dataset,MLP_PyTorch_Clas
CAR,0.9918
DIABETES,0.67556
GAMMA,0.86876
HAR,0.97799
IRIS,0.957
LETTER RECOGNITION,0.89999
MNIST,0.92386
SOYBEAN,0.96312
STUDENT DROPOUT,0.64474
WINE,0.98221
