Dataset,MLP_PyTorch_Clas
CAR,0.98868
DIABETES,0.67305
GAMMA,0.85292
HAR,0.97715
IRIS,0.95359
LETTER RECOGNITION,0.8943
MNIST,0.92198
SOYBEAN,0.95374
STUDENT DROPOUT,0.64264
WINE,0.9814
