Dataset,MLP_PyTorch_Clas
CAR,0.99614
DIABETES,0.72917
GAMMA,0.87695
HAR,0.97922
IRIS,0.94889
LETTER RECOGNITION,0.90398
MNIST,0.93043
SOYBEAN,0.93414
STUDENT DROPOUT,0.7289
WINE,0.97947
