Dataset,MLP_PyTorch_Clas
CAR,0.00018
DIABETES,0.00017
GAMMA,0.00017
HAR,0.00018
IRIS,0.00017
LETTER RECOGNITION,0.00017
MNIST,0.00018
SOYBEAN,0.00017
STUDENT DROPOUT,0.00018
WINE,0.00017
