Dataset,MLP_TFLite_Clas
CAR,0.97706
DIABETES,0.70571
GAMMA,0.87001
HAR,0.98197
IRIS,0.93778
LETTER RECOGNITION,0.8934
MNIST,0.92523
SOYBEAN,0.93023
STUDENT DROPOUT,0.72272
WINE,0.97751
