Dataset,MLP_PyTorch_Clas
CAR,0.73584
DIABETES,0.98513
GAMMA,14.99262
HAR,5.20246
IRIS,0.1385
LETTER RECOGNITION,18.44524
MNIST,4.60766
SOYBEAN,0.59257
STUDENT DROPOUT,4.7299
WINE,0.08601
