Dataset,MLP_TFLite_Clas
CAR,4.83594
DIABETES,4.45312
GAMMA,4.51562
HAR,21.90625
IRIS,4.36719
LETTER RECOGNITION,5.73438
MNIST,29.04688
SOYBEAN,6.02344
STUDENT DROPOUT,5.36719
WINE,4.64844
