Dataset,MLP_TFLite_Clas
CAR,0.95278
DIABETES,0.68603
GAMMA,0.84601
HAR,0.97479
IRIS,0.93328
LETTER RECOGNITION,0.88572
MNIST,0.92355
SOYBEAN,0.95136
STUDENT DROPOUT,0.646
WINE,0.97461
