Dataset,MLP_TFLite_Clas
CAR,3.32436
DIABETES,4.87349
GAMMA,53.62843
HAR,14.23669
IRIS,4.00978
LETTER RECOGNITION,33.56419
MNIST,13.80807
SOYBEAN,3.53713
STUDENT DROPOUT,13.41552
WINE,2.25723
