Dataset,MLP_TFLite_Clas
CAR,0.99537
DIABETES,0.70441
GAMMA,0.87501
HAR,0.9822
IRIS,0.95333
LETTER RECOGNITION,0.8996
MNIST,0.9281
SOYBEAN,0.9317
STUDENT DROPOUT,0.7277
WINE,0.97376
