Dataset,MLP_PyTorch_Reg
ABALONE,1.54522
AIR QUALITY,0.08086
APPLIANCES ENERGY PREDICTION,0.23138
AUTOMOBILE,1550.05186
BIKE SHARING HOURLY,34.66116
COMMUNITIES AND CRIME,0.10419
OBESITY LEVELS,0.24445
REAL ESTATE VALUATION,5.42924
STUDENT PERFORMANCE,1.66568
WINE QUALITY,0.5541
