Dataset,MLP_PyTorch_Clas
CAR,0.99518
DIABETES,0.72263
GAMMA,0.87222
HAR,0.97553
IRIS,0.95556
LETTER RECOGNITION,0.8947
MNIST,0.92223
SOYBEAN,0.93754
STUDENT DROPOUT,0.71926
WINE,0.98132
