Dataset,MLP_PyTorch_Clas
CAR,0.99576
DIABETES,0.71914
GAMMA,0.87723
HAR,0.97812
IRIS,0.95556
LETTER RECOGNITION,0.90178
MNIST,0.9285
SOYBEAN,0.93607
STUDENT DROPOUT,0.72777
WINE,0.98132
