Dataset,MLP_PyTorch_Reg
ABALONE,0.06629
AIR QUALITY,0.03457
APPLIANCES ENERGY PREDICTION,0.05382
AUTOMOBILE,0.05228
BIKE SHARING HOURLY,0.03402
COMMUNITIES AND CRIME,0.10432
OBESITY LEVELS,0.03197
REAL ESTATE VALUATION,0.08101
STUDENT PERFORMANCE,0.09025
WINE QUALITY,0.09913
