Dataset,MLP_PyTorch_Clas
CAR,0.98873
DIABETES,0.6988
GAMMA,0.84502
HAR,0.9794
IRIS,0.94889
LETTER RECOGNITION,0.89655
MNIST,0.92641
SOYBEAN,0.95421
STUDENT DROPOUT,0.65303
WINE,0.98007
