Dataset,MLP_PyTorch_Clas
CAR,0.98718
DIABETES,0.69482
GAMMA,0.86087
HAR,0.97905
IRIS,0.95554
LETTER RECOGNITION,0.90152
MNIST,0.92745
SOYBEAN,0.95849
STUDENT DROPOUT,0.65424
WINE,0.9811
