Dataset,MLP_TFLite_Reg
ABALONE,0.45177
AIR QUALITY,0.86956
APPLIANCES ENERGY PREDICTION,0.66929
AUTOMOBILE,0.88851
BIKE SHARING HOURLY,0.34829
COMMUNITIES AND CRIME,0.54016
OBESITY LEVELS,0.92779
REAL ESTATE VALUATION,0.58723
STUDENT PERFORMANCE,0.63761
WINE QUALITY,0.33449
