Dataset,MLP_TFLite_Clas
CAR,0.99381
DIABETES,0.68919
GAMMA,0.84708
HAR,0.98329
IRIS,0.95111
LETTER RECOGNITION,0.90371
MNIST,0.93006
SOYBEAN,0.95466
STUDENT DROPOUT,0.65147
WINE,0.98034
