Dataset,MLP_PyTorch_Clas
CAR,0.99186
DIABETES,0.69956
GAMMA,0.85554
HAR,0.97925
IRIS,0.94902
LETTER RECOGNITION,0.89666
MNIST,0.92642
SOYBEAN,0.95538
STUDENT DROPOUT,0.65388
WINE,0.97953
