Dataset,MLP_TFLite_Clas
CAR,0.9921
DIABETES,0.68839
GAMMA,0.87475
HAR,0.98367
IRIS,0.95527
LETTER RECOGNITION,0.90676
MNIST,0.93084
SOYBEAN,0.96138
STUDENT DROPOUT,0.65563
WINE,0.9796
