Dataset,MLP_TFLite_Reg
ABALONE,14.11522
AIR QUALITY,20.08309
APPLIANCES ENERGY PREDICTION,50.80561
AUTOMOBILE,2.72768
BIKE SHARING HOURLY,25.27252
COMMUNITIES AND CRIME,5.97678
OBESITY LEVELS,4.01376
REAL ESTATE VALUATION,3.92193
STUDENT PERFORMANCE,2.75131
WINE QUALITY,17.2319
