Dataset,MLP_TFLite_Clas
CAR,0.95286
DIABETES,0.67763
GAMMA,0.85275
HAR,0.98273
IRIS,0.93787
LETTER RECOGNITION,0.89323
MNIST,0.92413
SOYBEAN,0.94912
STUDENT DROPOUT,0.65578
WINE,0.97788
