Dataset,MLP_PyTorch_Reg
ABALONE,1.56227
AIR QUALITY,0.08265
APPLIANCES ENERGY PREDICTION,0.23165
AUTOMOBILE,1516.02578
BIKE SHARING HOURLY,34.48912
COMMUNITIES AND CRIME,0.10884
OBESITY LEVELS,0.24027
REAL ESTATE VALUATION,5.38362
STUDENT PERFORMANCE,1.66034
WINE QUALITY,0.54603
