Dataset,MLP_TFLite_Reg
ABALONE,0.07386
AIR QUALITY,0.03824
APPLIANCES ENERGY PREDICTION,0.05754
AUTOMOBILE,0.05918
BIKE SHARING HOURLY,0.0832
COMMUNITIES AND CRIME,0.10828
OBESITY LEVELS,0.06174
REAL ESTATE VALUATION,0.08917
STUDENT PERFORMANCE,0.11008
WINE QUALITY,0.10073
