Dataset,MLP_TFLite_Clas
CAR,3.79453
DIABETES,5.06437
GAMMA,56.63623
HAR,14.44091
IRIS,4.00729
LETTER RECOGNITION,39.13839
MNIST,15.13706
SOYBEAN,3.88815
STUDENT DROPOUT,14.31353
WINE,2.24698
