Dataset,MLP_PyTorch_Clas
CAR,8.94043
DIABETES,8.50488
GAMMA,8.56738
HAR,25.81738
IRIS,8.38184
LETTER RECOGNITION,9.56934
MNIST,33.00684
SOYBEAN,9.88184
STUDENT DROPOUT,9.38184
WINE,8.63184
