Dataset,MLP_PyTorch_Reg
ABALONE,2.17473
AIR QUALITY,0.1263
APPLIANCES ENERGY PREDICTION,0.35465
AUTOMOBILE,2176.31262
BIKE SHARING HOURLY,51.39025
COMMUNITIES AND CRIME,0.1578
OBESITY LEVELS,0.34182
REAL ESTATE VALUATION,8.04161
STUDENT PERFORMANCE,2.36151
WINE QUALITY,0.72166
