Dataset,MLP_PyTorch_Reg
ABALONE,2.23093
AIR QUALITY,4.14171
APPLIANCES ENERGY PREDICTION,8.45359
AUTOMOBILE,0.13567
BIKE SHARING HOURLY,7.93064
COMMUNITIES AND CRIME,1.89417
OBESITY LEVELS,0.76466
REAL ESTATE VALUATION,0.26806
STUDENT PERFORMANCE,0.17936
WINE QUALITY,5.08846
