Dataset,MLP_TFLite_Reg
ABALONE,0.51496
AIR QUALITY,0.89106
APPLIANCES ENERGY PREDICTION,0.68603
AUTOMOBILE,0.89327
BIKE SHARING HOURLY,0.93274
COMMUNITIES AND CRIME,0.53027
OBESITY LEVELS,0.97403
REAL ESTATE VALUATION,0.62423
STUDENT PERFORMANCE,0.65274
WINE QUALITY,0.3338
