Dataset,MLP_TFLite_Clas
CAR,0.93995
DIABETES,0.6874
GAMMA,0.83405
HAR,0.97491
IRIS,0.93333
LETTER RECOGNITION,0.88544
MNIST,0.9233
SOYBEAN,0.95066
STUDENT DROPOUT,0.64614
WINE,0.97504
