Dataset,MLP_TFLite_Reg
ABALONE,2.38254
AIR QUALITY,0.14018
APPLIANCES ENERGY PREDICTION,0.37283
AUTOMOBILE,2317.88661
BIKE SHARING HOURLY,146.28823
COMMUNITIES AND CRIME,0.15677
OBESITY LEVELS,0.5268
REAL ESTATE VALUATION,8.53368
STUDENT PERFORMANCE,2.71814
WINE QUALITY,0.7216
