Dataset,MLP_TFLite_Clas
CAR,0.97841
DIABETES,0.71613
GAMMA,0.86518
HAR,0.97372
IRIS,0.93333
LETTER RECOGNITION,0.88577
MNIST,0.92467
SOYBEAN,0.93266
STUDENT DROPOUT,0.70878
WINE,0.97381
