Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_PyTorch_Clas,0.99576,0.00516,0.98718,0.01982,0.9893,0.01835,0.98707,0.0203,8.9541,0.00013,0.83436,0.01545,CAR
MLP_PyTorch_Clas,0.71914,0.02598,0.69482,0.02546,0.69501,0.02592,0.69839,0.02546,7.20605,0.00014,1.19075,0.01511,DIABETES
MLP_PyTorch_Clas,0.87723,0.00635,0.86087,0.00772,0.87661,0.00721,0.8505,0.00896,7.45801,0.00014,14.5576,0.01553,GAMMA
MLP_PyTorch_Clas,0.97812,0.00502,0.97905,0.00483,0.97939,0.00453,0.97916,0.00485,76.58301,0.00014,5.08922,0.01547,HAR
MLP_PyTorch_Clas,0.95556,0.0337,0.95554,0.03361,0.95843,0.03259,0.95556,0.0337,6.77051,0.00013,0.16594,0.01495,IRIS
MLP_PyTorch_Clas,0.90178,0.00836,0.90152,0.00856,0.90525,0.00716,0.90146,0.00838,9.77051,0.00014,20.57083,0.0156,LETTER RECOGNITION
MLP_PyTorch_Clas,0.9285,0.00642,0.92745,0.00663,0.92857,0.00617,0.92755,0.00672,104.70801,0.00015,5.62216,0.01526,MNIST
MLP_PyTorch_Clas,0.93607,0.02158,0.95849,0.01558,0.96547,0.00955,0.95837,0.01918,11.70801,0.00013,0.62318,0.01506,SOYBEAN
MLP_PyTorch_Clas,0.72777,0.01327,0.65424,0.01625,0.66185,0.01722,0.65093,0.01571,10.77051,0.00014,5.96082,0.01501,STUDENT DROPOUT
MLP_PyTorch_Clas,0.98132,0.02212,0.9811,0.02249,0.9813,0.02263,0.98192,0.02173,7.89551,0.00013,0.10779,0.01486,WINE
