Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_TFLite_Clas,0.99537,0.00458,0.9896,0.01178,0.98987,0.01243,0.99021,0.01411,7.00391,8e-05,3.29288,0.21539,CAR
MLP_TFLite_Clas,0.70441,0.03876,0.67657,0.04235,0.67695,0.04298,0.6783,0.04213,5.33203,7e-05,4.88495,0.21242,DIABETES
MLP_TFLite_Clas,0.87501,0.00572,0.85876,0.00658,0.87281,0.00728,0.84918,0.00704,5.58203,7e-05,53.49634,0.24186,GAMMA
MLP_TFLite_Clas,0.9822,0.00375,0.98296,0.00362,0.98324,0.00339,0.98297,0.00368,74.72266,7e-05,14.18193,0.26178,HAR
MLP_TFLite_Clas,0.95333,0.04355,0.95347,0.04325,0.95696,0.04095,0.95333,0.04355,4.91016,7e-05,4.03523,0.21704,IRIS
MLP_TFLite_Clas,0.8996,0.00472,0.89922,0.00478,0.90262,0.0042,0.89925,0.00476,7.9375,7e-05,33.21216,0.21359,LETTER RECOGNITION
MLP_TFLite_Clas,0.9281,0.00523,0.92706,0.00524,0.92819,0.00521,0.92705,0.00529,102.875,7e-05,13.71878,0.21738,MNIST
MLP_TFLite_Clas,0.9317,0.02565,0.94953,0.02047,0.95954,0.01391,0.94729,0.02546,9.84766,7e-05,3.5255,0.21263,SOYBEAN
MLP_TFLite_Clas,0.7277,0.01714,0.661,0.01551,0.66575,0.01794,0.6594,0.01519,8.91016,7e-05,13.4081,0.21607,STUDENT DROPOUT
MLP_TFLite_Clas,0.97376,0.02188,0.97436,0.0218,0.97519,0.0224,0.97515,0.02092,6.03516,7e-05,2.08861,0.22111,WINE
