Dataset,MLP_PyTorch_Clas
CAR,0.98974
DIABETES,0.69785
GAMMA,0.87032
HAR,0.97728
IRIS,0.95843
LETTER RECOGNITION,0.8994
MNIST,0.9226
SOYBEAN,0.96673
STUDENT DROPOUT,0.65022
WINE,0.9813
