Dataset,MLP_PyTorch_Reg
ABALONE,0.06918
AIR QUALITY,0.03576
APPLIANCES ENERGY PREDICTION,0.05435
AUTOMOBILE,0.05093
BIKE SHARING HOURLY,0.03581
COMMUNITIES AND CRIME,0.10892
OBESITY LEVELS,0.04004
REAL ESTATE VALUATION,0.0804
STUDENT PERFORMANCE,0.08901
WINE QUALITY,0.09831
