Dataset,MLP_TFLite_Clas
CAR,0.98011
DIABETES,0.68895
GAMMA,0.86593
HAR,0.97612
IRIS,0.93824
LETTER RECOGNITION,0.8904
MNIST,0.92519
SOYBEAN,0.95903
STUDENT DROPOUT,0.64757
WINE,0.97564
