Dataset,MLP_TFLite_Clas
CAR,0.99249
DIABETES,0.68781
GAMMA,0.85799
HAR,0.98335
IRIS,0.95121
LETTER RECOGNITION,0.90371
MNIST,0.93009
SOYBEAN,0.95501
STUDENT DROPOUT,0.65239
WINE,0.97945
