Dataset,MLP_PyTorch_Clas
CAR,0.99312
DIABETES,0.70263
GAMMA,0.86039
HAR,0.98012
IRIS,0.94902
LETTER RECOGNITION,0.90356
MNIST,0.92946
SOYBEAN,0.95485
STUDENT DROPOUT,0.65972
WINE,0.97953
