Dataset,MLP_PyTorch_Clas
CAR,0.85336
DIABETES,1.18774
GAMMA,14.27541
HAR,4.97459
IRIS,0.16502
LETTER RECOGNITION,20.11384
MNIST,5.54701
SOYBEAN,0.60501
STUDENT DROPOUT,5.86216
WINE,0.10642
