Dataset,MLP_TFLite_Clas
CAR,7.00391
DIABETES,5.33203
GAMMA,5.58203
HAR,74.72266
IRIS,4.91016
LETTER RECOGNITION,7.9375
MNIST,102.875
SOYBEAN,9.84766
STUDENT DROPOUT,8.91016
WINE,6.03516
