Dataset,MLP_TFLite_Clas
CAR,0.98987
DIABETES,0.67695
GAMMA,0.87281
HAR,0.98324
IRIS,0.95696
LETTER RECOGNITION,0.90262
MNIST,0.92819
SOYBEAN,0.95954
STUDENT DROPOUT,0.66575
WINE,0.97519
