Dataset,MLP_PyTorch_Reg
ABALONE,2.19483
AIR QUALITY,0.12767
APPLIANCES ENERGY PREDICTION,0.35485
AUTOMOBILE,2129.73736
BIKE SHARING HOURLY,51.53889
COMMUNITIES AND CRIME,0.16072
OBESITY LEVELS,0.34282
REAL ESTATE VALUATION,8.01696
STUDENT PERFORMANCE,2.37061
WINE QUALITY,0.71198
