Dataset,MLP_TFLite_Clas
CAR,3.7758
DIABETES,4.96198
GAMMA,56.66636
HAR,14.42656
IRIS,3.89279
LETTER RECOGNITION,39.13512
MNIST,15.08366
SOYBEAN,3.92407
STUDENT DROPOUT,14.30587
WINE,2.40442
