Dataset,MLP_TFLite_Clas
CAR,1.69993
DIABETES,3.3693
GAMMA,22.32964
HAR,5.50628
IRIS,4.21809
LETTER RECOGNITION,18.25026
MNIST,5.56408
SOYBEAN,2.51971
STUDENT DROPOUT,6.51035
WINE,1.4292
