Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_ONNX_Clas,0.88831,0.03991,0.90922,0.0409,0.92941,0.02921,0.91535,0.03552,9.67871,2e-05,0.11933,0.02781,SOYBEAN
RandomForest_ONNX_Clas,0.90728,0.02161,0.90764,0.0246,0.93481,0.02805,0.90632,0.02593,13.00781,1e-05,0.06661,0.01553,SOYBEAN
DecisionTree_ONNX_Clas,0.71956,0.01252,0.64624,0.01217,0.65441,0.01348,0.64221,0.01172,27.62988,1e-05,0.01563,0.018,STUDENT DROPOUT
LinearSVC_ONNX_Clas,0.75987,0.00959,0.69164,0.01252,0.70524,0.01238,0.68414,0.01261,1.34082,1e-05,0.04132,0.01481,STUDENT DROPOUT
KNN_ONN_ClasX,0.68724,0.00986,0.60265,0.01225,0.61449,0.01235,0.59921,0.01158,33.27148,0.00037,0.08418,0.07197,STUDENT DROPOUT
MLP_ONNX_Clas,0.69567,0.01488,0.63269,0.01662,0.63576,0.01716,0.63367,0.01476,9.4043,2e-05,1.07289,0.02879,STUDENT DROPOUT
RandomForest_ONNX_Clas,0.7454,0.0135,0.66253,0.02106,0.68716,0.02148,0.65443,0.01914,6.70898,1e-05,0.07774,0.01461,STUDENT DROPOUT
DecisionTree_ONNX_Clas,0.90265,0.04803,0.9038,0.04823,0.91277,0.04634,0.90253,0.04965,1.40918,1e-05,0.00101,0.01329,WINE
LinearSVC_ONNX_Clas,0.98312,0.01729,0.98328,0.01706,0.98254,0.01831,0.9855,0.01458,0.77734,1e-05,0.00197,0.01339,WINE
KNN_ONN_ClasX,0.95132,0.03153,0.95275,0.03062,0.95616,0.02937,0.95474,0.0294,9.81055,9e-05,0.01121,0.03795,WINE
MLP_ONNX_Clas,0.97185,0.0275,0.97251,0.02708,0.97307,0.02726,0.97393,0.02557,8.45898,2e-05,0.01945,0.02565,WINE
RandomForest_ONNX_Clas,0.89709,0.04667,0.89902,0.0459,0.90669,0.04468,0.8984,0.04742,1.40918,1e-05,0.048,0.01345,WINE
