Dataset,MLP_PyTorch_Reg
ABALONE,0.53321
AIR QUALITY,0.8921
APPLIANCES ENERGY PREDICTION,0.70049
AUTOMOBILE,0.91034
BIKE SHARING HOURLY,0.91887
COMMUNITIES AND CRIME,0.51963
OBESITY LEVELS,0.96983
REAL ESTATE VALUATION,0.63415
STUDENT PERFORMANCE,0.72273
WINE QUALITY,0.35256
