Dataset,MLP_TFLite_Reg
ABALONE,1.66625
AIR QUALITY,0.08845
APPLIANCES ENERGY PREDICTION,0.24573
AUTOMOBILE,1742.10578
BIKE SHARING HOURLY,80.12608
COMMUNITIES AND CRIME,0.10819
OBESITY LEVELS,0.37046
REAL ESTATE VALUATION,5.9872
STUDENT PERFORMANCE,2.05258
WINE QUALITY,0.55945
