Dataset,MLP_TFLite_Clas
CAR,0.99021
DIABETES,0.6783
GAMMA,0.84918
HAR,0.98297
IRIS,0.95333
LETTER RECOGNITION,0.89925
MNIST,0.92705
SOYBEAN,0.94729
STUDENT DROPOUT,0.6594
WINE,0.97515
