Dataset,MLP_TFLite_Reg
ABALONE,0.00013
AIR QUALITY,0.00013
APPLIANCES ENERGY PREDICTION,0.00013
AUTOMOBILE,0.00013
BIKE SHARING HOURLY,0.00013
COMMUNITIES AND CRIME,0.00013
OBESITY LEVELS,0.00013
REAL ESTATE VALUATION,0.00013
STUDENT PERFORMANCE,0.00013
WINE QUALITY,0.00013
