Dataset,MLP_TFLite_Clas
CAR,0.9973
DIABETES,0.71481
GAMMA,0.87492
HAR,0.98252
IRIS,0.95111
LETTER RECOGNITION,0.90402
MNIST,0.93103
SOYBEAN,0.93169
STUDENT DROPOUT,0.71835
WINE,0.97942
