Dataset,MLP_TFLite_Reg
ABALONE,2.41703
AIR QUALITY,0.14408
APPLIANCES ENERGY PREDICTION,0.38085
AUTOMOBILE,2347.55158
BIKE SHARING HOURLY,142.56811
COMMUNITIES AND CRIME,0.161
OBESITY LEVELS,0.53001
REAL ESTATE VALUATION,9.16078
STUDENT PERFORMANCE,2.75144
WINE QUALITY,0.73347
