Dataset,MLP_TFLite_Clas
CAR,0.98072
DIABETES,0.67801
GAMMA,0.86796
HAR,0.98289
IRIS,0.94235
LETTER RECOGNITION,0.89721
MNIST,0.92557
SOYBEAN,0.96016
STUDENT DROPOUT,0.65935
WINE,0.97863
