Dataset,MLP_PyTorch_Reg
ABALONE,0.00019
AIR QUALITY,0.0002
APPLIANCES ENERGY PREDICTION,0.00019
AUTOMOBILE,0.00018
BIKE SHARING HOURLY,0.00019
COMMUNITIES AND CRIME,0.00019
OBESITY LEVELS,0.0002
REAL ESTATE VALUATION,0.00017
STUDENT PERFORMANCE,0.00018
WINE QUALITY,0.00019
