Dataset,MLP_TFLite_Reg
ABALONE,1.6219
AIR QUALITY,0.08611
APPLIANCES ENERGY PREDICTION,0.24045
AUTOMOBILE,1710.22424
BIKE SHARING HOURLY,80.96074
COMMUNITIES AND CRIME,0.10525
OBESITY LEVELS,0.36891
REAL ESTATE VALUATION,5.63444
STUDENT PERFORMANCE,2.04426
WINE QUALITY,0.55278
