Dataset,MLP_TFLite_Clas
CAR,0.98203
DIABETES,0.68958
GAMMA,0.86812
HAR,0.98295
IRIS,0.94066
LETTER RECOGNITION,0.9016
MNIST,0.93021
SOYBEAN,0.96072
STUDENT DROPOUT,0.65564
WINE,0.97789
