Dataset,MLP_TFLite_Reg
ABALONE,2.23452
AIR QUALITY,0.12818
APPLIANCES ENERGY PREDICTION,0.36344
AUTOMOBILE,2268.46646
BIKE SHARING HOURLY,47.00402
COMMUNITIES AND CRIME,0.15853
OBESITY LEVELS,0.31763
REAL ESTATE VALUATION,8.14782
STUDENT PERFORMANCE,2.65442
WINE QUALITY,0.72198
