Dataset,MLP_TFLite_Reg
ABALONE,0.00012
AIR QUALITY,0.00012
APPLIANCES ENERGY PREDICTION,0.00012
AUTOMOBILE,0.00012
BIKE SHARING HOURLY,0.00012
COMMUNITIES AND CRIME,0.00012
OBESITY LEVELS,0.00012
REAL ESTATE VALUATION,0.00012
STUDENT PERFORMANCE,0.00012
WINE QUALITY,0.00012
