Dataset,MLP_TFLite_Reg
ABALONE,5.42578
AIR QUALITY,10.88672
APPLIANCES ENERGY PREDICTION,8.51172
AUTOMOBILE,13.51172
BIKE SHARING HOURLY,5.77344
COMMUNITIES AND CRIME,16.77344
OBESITY LEVELS,7.64844
REAL ESTATE VALUATION,5.02344
STUDENT PERFORMANCE,11.52344
WINE QUALITY,5.64844
