Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_PyTorch_Clas,0.99479,0.00438,0.99186,0.00874,0.99548,0.00465,0.98873,0.01332,8.94043,0.00018,1.37974,0.03041,CAR
MLP_PyTorch_Clas,0.72917,0.02673,0.69956,0.03081,0.70201,0.02957,0.6988,0.03143,8.50488,0.00017,1.2822,0.02932,DIABETES
MLP_PyTorch_Clas,0.87266,0.00438,0.85554,0.00482,0.87199,0.00815,0.84502,0.00586,8.56934,0.00017,13.31081,0.0293,GAMMA
MLP_PyTorch_Clas,0.97828,0.00518,0.97925,0.00505,0.97947,0.00487,0.9794,0.00504,25.81934,0.00018,5.79507,0.03034,HAR
MLP_PyTorch_Clas,0.94889,0.04366,0.94902,0.04315,0.95324,0.04153,0.94889,0.04366,8.38184,0.00017,0.21449,0.03037,IRIS
MLP_PyTorch_Clas,0.89687,0.00984,0.89666,0.00985,0.90056,0.00872,0.89655,0.00988,9.56934,0.00017,24.91407,0.03004,LETTER RECOGNITION
MLP_PyTorch_Clas,0.92743,0.00621,0.92642,0.00623,0.92749,0.00602,0.92641,0.0063,33.00684,0.00018,6.78384,0.02954,MNIST
MLP_PyTorch_Clas,0.93414,0.02042,0.95538,0.01656,0.965,0.01065,0.95421,0.0196,9.88184,0.00017,0.95666,0.02961,SOYBEAN
MLP_PyTorch_Clas,0.72204,0.0198,0.65388,0.01966,0.65796,0.02206,0.65303,0.01829,9.38184,0.00018,5.83008,0.03012,STUDENT DROPOUT
MLP_PyTorch_Clas,0.97947,0.02163,0.97953,0.02169,0.98034,0.02129,0.98007,0.02129,8.63184,0.00017,0.1371,0.03007,WINE
