Dataset,MLP_PyTorch_Clas
CAR,0.98266
DIABETES,0.69731
GAMMA,0.84545
HAR,0.97689
IRIS,0.95556
LETTER RECOGNITION,0.89433
MNIST,0.92093
SOYBEAN,0.95853
STUDENT DROPOUT,0.64568
WINE,0.98192
