Dataset,MLP_TFLite_Reg
ABALONE,0.06719
AIR QUALITY,0.03495
APPLIANCES ENERGY PREDICTION,0.05489
AUTOMOBILE,0.05782
BIKE SHARING HOURLY,0.0327
COMMUNITIES AND CRIME,0.10657
OBESITY LEVELS,0.03413
REAL ESTATE VALUATION,0.08133
STUDENT PERFORMANCE,0.10681
WINE QUALITY,0.09947
